scenario,cluster_count,cluster_size,sample_size,epsilon,replicate,method,effect,truth,estimate,error,fit_success,iterations,gradient_norm,coefficient_norm
complex,200,8,1600,2,3,doi_private_no_interference,direct_high,0.1616022877,0.2840636828,0.1224613951,True,11,7.282636601e-06,1.66654365
complex,200,8,1600,2,3,doi_private_no_interference,spillover_control,0.110137319,0,-0.110137319,True,11,7.282636601e-06,1.66654365
complex,200,8,1600,2,3,doi_private_no_interference,spillover_treated,0.1731328632,0,-0.1731328632,True,11,7.282636601e-06,1.66654365
complex,200,8,1600,0.5,4,design_ht,direct_low,0.09860674353,-0.03215768306,-0.1307644266,True,0,0,0
complex,200,8,1600,0.5,4,design_ht,direct_high,0.1616022877,0.3726951969,0.2110929092,True,0,0,0
complex,200,8,1600,0.5,4,design_ht,spillover_control,0.110137319,-0.08554202107,-0.1956793401,True,0,0,0
complex,200,8,1600,0.5,4,design_ht,spillover_treated,0.1731328632,0.3193108589,0.1461779957,True,0,0,0
complex,200,8,1600,0.5,4,doi_nonprivate_generic,direct_low,0.09860674353,0.09698654689,-0.001620196639,True,83,0.003109722924,4.592790862
complex,200,8,1600,0.5,4,doi_nonprivate_generic,direct_high,0.1616022877,0.1566868403,-0.004915447402,True,83,0.003109722924,4.592790862
complex,200,8,1600,0.5,4,doi_nonprivate_generic,spillover_control,0.110137319,0.1175180596,0.007380740526,True,83,0.003109722924,4.592790862
complex,200,8,1600,0.5,4,doi_nonprivate_generic,spillover_treated,0.1731328632,0.1772183529,0.004085489763,True,83,0.003109722924,4.592790862
complex,200,8,1600,0.5,4,doi_private_generic,direct_low,0.09860674353,-0.04737085053,-0.1459775941,True,47,0.002296069251,4.827385861
complex,200,8,1600,0.5,4,doi_private_generic,direct_high,0.1616022877,0.3758403407,0.214238053,True,47,0.002296069251,4.827385861
complex,200,8,1600,0.5,4,doi_private_generic,spillover_control,0.110137319,-0.1441817988,-0.2543191179,True,47,0.002296069251,4.827385861
complex,200,8,1600,0.5,4,doi_private_generic,spillover_treated,0.1731328632,0.2790293924,0.1058965292,True,47,0.002296069251,4.827385861
complex,200,8,1600,0.5,4,doi_private_no_interference,direct_low,0.09860674353,0.2165519438,0.1179452003,True,12,1.718752359e-05,2.758092711
complex,200,8,1600,0.5,4,doi_private_no_interference,direct_high,0.1616022877,0.2165519438,0.05494965616,True,12,1.718752359e-05,2.758092711
complex,200,8,1600,0.5,4,doi_private_no_interference,spillover_control,0.110137319,0,-0.110137319,True,12,1.718752359e-05,2.758092711
complex,200,8,1600,0.5,4,doi_private_no_interference,spillover_treated,0.1731328632,0,-0.1731328632,True,12,1.718752359e-05,2.758092711
complex,200,8,1600,1,4,design_ht,direct_low,0.09860674353,0.02602470884,-0.0725820347,True,0,0,0
complex,200,8,1600,1,4,design_ht,direct_high,0.1616022877,0.1664071549,0.004804867199,True,0,0,0
