scenario,cluster_count,cluster_size,sample_size,epsilon,method,effect,replications,bias,mcse_bias,rmse,mcse_rmse,projected_rmse,mcse_projected_rmse,outside_parameter_space,empirical_standard_deviation,average_standard_error,standard_error_ratio,coverage,mcse_coverage,coverage_low,coverage_high,average_interval_length,average_projected_interval_length
linear,100,8,800,0.5,one_bit,direct_low,400,0.006562585501,0.01277708613,0.2553064543,0.009554888693,0.2553064543,0.009554888693,0,0.2555417226,0.260513516,1.019455897,0.9575,0.01008634597,0.9329979457,0.973298305,1.033830669,1.015421246
linear,100,8,800,0.5,one_bit,spillover_control,400,-0.01721069251,0.01409748103,0.2821224158,0.01016446197,0.2819268236,0.01011183336,0.0025,0.2819496205,0.2685687284,0.9525415495,0.92,0.01356465997,0.8892454232,0.9427642496,1.065797247,1.043631293
linear,100,8,800,0.5,one_bit,spillover_treated,400,-0.02120454479,0.01397188957,0.279892655,0.01047412049,0.279892655,0.01047412049,0,0.2794377915,0.2827776875,1.011952199,0.9525,0.01063528914,0.9270084506,0.969382923,1.122184562,1.10120979
linear,100,8,800,1,laplace,direct_high,400,0.01009431847,0.009176163775,0.1835714736,0.006451703663,0.1835714736,0.006451703663,0,0.1835232755,0.1851328501,1.008770411,0.945,0.01139901312,0.9181325522,0.9634015059,0.7346874787,0.7339132665
linear,100,8,800,1,laplace,direct_low,400,0.006415664929,0.009263805574,0.1851555566,0.006533562367,0.1851555566,0.006533562367,0,0.1852761115,0.1832354258,0.9889857051,0.96,0.009797958971,0.9360177523,0.9752309369,0.7271576758,0.7262619544
linear,100,8,800,1,laplace,spillover_control,400,-0.006617805904,0.009828037262,0.1964264025,0.006643520341,0.1964264025,0.006643520341,0,0.1965607452,0.1947569059,0.9908229929,0.955,0.01036520622,0.9299952708,0.9713485413,0.7728799082,0.77173034
linear,100,8,800,1,laplace,spillover_treated,400,-0.00293915237,0.01120969355,0.2239327426,0.007952600004,0.2239327426,0.007952600004,0,0.2241938711,0.212896283,0.9496079532,0.9375,0.01210307296,0.9093658839,0.9573108586,0.8448648273,0.8432866794
linear,100,8,800,1,naive_bit,direct_high,400,-0.086953125,0.0040412247,0.1186470113,0.003459011148,0.1186470113,0.003459011148,0,0.080824494,0.08846774145,1.094565979,0.86,0.01734935157,0.8225607695,0.8905903786,0.3510783845,0.3510783845
linear,100,8,800,1,naive_bit,direct_low,400,-0.0753828125,0.004379190097,0.1154742979,0.003455490569,0.1154742979,0.003455490569,0,0.08758380194,0.08576881849,0.9792771791,0.8325,0.01867108393,0.7927798983,0.8658944259,0.3403678871,0.3403678871
linear,100,8,800,1,naive_bit,spillover_control,400,-0.0783203125,0.005671141841,0.1377194591,0.004420263977,0.1377194591,0.004420263977,0,0.1134228368,0.1185375604,1.045094302,0.875,0.01653594569,0.8389809025,0.9038848768,0.4704084736,0.4704084736
linear,100,8,800,1,naive_bit,spillover_treated,400,-0.089890625,0.006272554805,0.1542042705,0.00504584267,0.1542042705,0.00504584267,0,0.1254510961,0.1318047397,1.050646378,0.925,0.01316956719,0.8949522937,0.9469622561,0.5230583977,0.5230583977
